"","OB_END_TIME","MAX_AIR_TEMP"
"276","1968-06-01 21:00",10.2
"277","1968-07-01 21:00",16.7
"278","1968-08-01 21:00",16.4
"279","1968-09-01 21:00",14.8
"280","1968-10-01 21:00",10.9
"281","1968-11-01 21:00",3.1
"282","1968-12-01 21:00",7.1
"283","1969-01-01 21:00",8.8
"284","1969-02-01 21:00",-0.9
"285","1969-03-01 21:00",3.3
"286","1969-04-01 21:00",4.4
"287","1969-05-01 21:00",8.9
"288","1969-06-01 21:00",10.1
"289","1969-07-01 21:00",11.9
"290","1969-08-01 21:00",18.5
"291","1969-09-01 21:00",13.6
"292","1969-10-01 21:00",5.8
"293","1969-11-01 21:00",5.6
"294","1969-12-01 21:00",5.5
"295","1970-01-01 21:00",4.3
"296","1970-02-01 21:00",5.4
"297","1970-03-01 21:00",4.3
"298","1970-04-01 21:00",1
"299","1970-05-01 21:00",7.8
"300","1970-06-01 21:00",11
"301","1970-07-01 21:00",12.7
"302","1970-08-01 21:00",13.6
"303","1970-09-01 21:00",13.6
"304","1970-10-01 21:00",11.5
"305","1970-11-01 21:00",6.9
"306","1970-12-01 21:00",6.2
"307","1971-01-01 21:00",2.3
"308","1971-02-01 21:00",3
"309","1971-03-01 21:00",3.7
"310","1971-04-01 21:00",6.3
"311","1971-05-01 21:00",10.8
"312","1971-06-01 21:00",12.4
"313","1971-07-01 21:00",13.7
"314","1971-08-01 21:00",14.4
"315","1971-09-01 21:00",13.9
"316","1971-10-01 21:00",13.2
"317","1971-11-01 21:00",11.8
"318","1971-12-01 21:00",6.8
"319","1972-01-01 21:00",4.8
"320","1972-02-01 21:00",2.8
"321","1972-03-01 21:00",6.6
"322","1972-04-01 21:00",6.8
"323","1972-05-01 21:00",10.3
"324","1972-06-01 21:00",11.1
"325","1972-07-01 21:00",14
"326","1972-08-01 21:00",12.5
"327","1972-09-01 21:00",13.1
"328","1972-10-01 21:00",12.7
"329","1972-11-01 21:00",10.5
"330","1972-12-01 21:00",7.5
"331","1973-01-01 21:00",9.1
"332","1973-02-01 21:00",6.6
"333","1973-03-01 21:00",6.8
"334","1973-04-01 21:00",4.1
"335","1973-05-01 21:00",5.1
"336","1973-06-01 21:00",9.8
"337","1973-07-01 21:00",14.2
"338","1973-08-01 21:00",14.5
"339","1973-09-01 21:00",13.6
"340","1973-10-01 21:00",11.1
"341","1973-11-01 21:00",9.5
"342","1973-12-01 21:00",2.8
"343","1974-01-01 21:00",5.6
"344","1974-02-01 21:00",6.3
"345","1974-03-01 21:00",4.9
"346","1974-04-01 21:00",8.6
"347","1974-05-01 21:00",12.1
"348","1974-06-01 21:00",10
"349","1974-07-01 21:00",14.8
"350","1974-08-01 21:00",13.5
"351","1974-09-01 21:00",16.2
"352","1974-10-01 21:00",9
"353","1974-11-01 21:00",5.8
"354","1974-12-01 21:00",8.5
"355","1975-01-01 21:00",6.4
"356","1975-02-01 21:00",8.4
"357","1975-03-01 21:00",6.9
"358","1975-04-01 21:00",4.9
"359","1975-05-01 21:00",6.9
"360","1975-06-01 21:00",5.7
"361","1975-07-01 21:00",14.6
"362","1975-08-01 21:00",12.3
"363","1975-09-01 21:00",15.7
"364","1975-10-01 21:00",11.2
"365","1975-11-01 21:00",10.8
"366","1975-12-01 21:00",4.8
"367","1976-01-01 21:00",1.2
"368","1976-02-01 21:00",2.8
"369","1976-03-01 21:00",3.9
"370","1976-04-01 21:00",4.1
"371","1976-05-01 21:00",7.5
"372","1976-06-01 21:00",9.9
"373","1976-07-01 21:00",12.7
"374","1976-08-01 21:00",12.6
"375","1976-09-01 21:00",10.7
"376","1976-10-01 21:00",10.9
"377","1976-11-01 21:00",8.5
"378","1976-12-01 21:00",3.3
"379","1977-01-01 21:00",0.2
"380","1977-02-01 21:00",2.9
"381","1977-03-01 21:00",4.4
"382","1977-04-01 21:00",8
"383","1977-05-01 21:00",9.2
"384","1977-06-01 21:00",13.3
"385","1977-07-01 21:00",13.3
"386","1977-08-01 21:00",13.7
"387","1977-09-01 21:00",13.3
"388","1977-10-01 21:00",8.2
"389","1977-11-01 21:00",8.5
"390","1977-12-01 21:00",6.4
"391","1978-01-01 21:00",6.9
"392","1978-02-01 21:00",4.1
"393","1978-03-01 21:00",5.7
"394","1978-04-01 21:00",8
"395","1978-05-01 21:00",7.8
"396","1978-06-01 21:00",14.7
"397","1978-07-01 21:00",12.4
"398","1978-08-01 21:00",11.2
"399","1978-09-01 21:00",12.4
"400","1978-10-01 21:00",11
"401","1978-11-01 21:00",10.4
"402","1978-12-01 21:00",4.4
"403","1979-01-01 21:00",0.8
"404","1979-02-01 21:00",-0.1
"405","1979-03-01 21:00",4.5
"406","1979-04-01 21:00",6.7
"407","1979-05-01 21:00",4
"408","1979-06-01 21:00",12.4
"409","1979-07-01 21:00",11.9
"410","1979-08-01 21:00",13.6
"411","1979-09-01 21:00",10.8
"412","1979-10-01 21:00",11.3
"413","1979-11-01 21:00",8.4
"414","1979-12-01 21:00",8.6
"415","1980-01-01 21:00",0
